Course Title	Restrictions	Prerequisites	Descriptions
AGR*2350 Animal Production Systems and Industry:  Beef, Swine and Others Fall Only (LEC: 3, LAB: 3) [0.50]	NONE	Prerequisite(s): (2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090)	This course is designed to introduce the student to animal production systems in Canada. Beef, swine, companion animals, aquaculture, mink and other alternative animals will be covered throughout the value-chain. Topics include food, health and wellness (domestic animals and human), nutrition, housing, genetics, reproduction, husbandry practices and processing. The course includes laboratories and animal production unit tours.
AGR*2470 Introduction to Plant Agriculture Fall Only (LEC: 3, LAB: 3) [0.50]	Restriction(s): AGR*2150	Prerequisite(s): BIOL*1050 or BIOL*1070	The basic principles of plant morphology, nutrition, growth and development will be related to where and how agriculturally significant plants are grown. Agroecosystems and farming systems will be considered as frameworks for crop production analyses. The course uses examples from temperate, sub-tropical and tropical crops and cropping systems. Labs include problem-solving exercises in the context of plant production.
AGR*2500 Field Course in International  Agriculture Winter Only (LEC: 3) [0.50]	Restriction(s): Registration in BSC(AGR)or BA.ID or Minor in Agriculture. Instructor consent required.	Prerequisite(s): (AGR*1110 or AGR*1250) or registration in International Development	This course introduces students to a wide range of tropical and subtropical agricultural production systems and issues. The course is comprised of a weekly 3 hour evening lecture and a ten day field trip to Costa Rica where students will visit corporate and individual farms, and university and government research stations. The field trip occurs during Reading Week in February. This course must be recorded as part of your Winter course selection. A student fee will be assessed to cover transportation, lodging and meals in addition to tuition and compulsory fees. Students must identify their interest in taking this course by contacting the instructor before the October course selection period of the previous year. For information regarding fees, see the Department of Plant Agriculture Website.
AGR*3010 Special Studies in Agricultural Science  I Summer, Fall, and Winter (LEC: 3) [0.50]	Restriction(s): Instructor consent required.	Prerequisite(s): 10.00 credits	A special study option that enables undergraduate students in semesters 5 through 8 to undertake specific projects in agricultural sciences. The topic of the special study will be determined in consultation with a faculty member and the individual student. Students are responsible for making appropriate arrangements with faculty at the departmental and/or college level prior to registration for the course.
AGR*3200 Computing for Bioscientists Winter Only (LEC: 5) [0.50]	Restriction(s): Restricted to students in BSCH.ABIO, BSAG.AGRS, BSAG.ANSC, BBRM.EQM.	Prerequisite(s): 9.50 credits	This course focuses on computational aspects of analytical techniques for biological data. Topics covered include, how to operate a computer efficiently when using biological data, types of biological data used in animal biosciences, how to prepare biological data for analysis, programming skills for bio-data organization, manipulation and problem solving, bio-data visualization, and computational aspects of data modelling.
AGR*3450 Research Methods in Agricultural Science Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Enrollment in the BSC(AGR), BBRM, BSC.ABIO, BSC.PLSC or Minor in Agriculture.	Prerequisite(s): Completion of 7.50 credits including (1 of GEOG*2460, STAT*2040 , STAT*2060, STAT*2080)	This course provides students with an opportunity to enhance their understanding of the principles and processes of agricultural research. The course will provide students with a foundation in critical thinking, experimental design and data analysis that will be applicable to independent research projects and graduate studies. Students will also explore the practical requirements and limitations of scientific research. Laboratory and field safety, animal care, intellectual property and research ethics will be reviewed. Students will be required to practice both oral presentation and writing skills as core components of their evaluation.
AGR*4010 Special Studies in Agricultural Science  II Summer, Fall, and Winter (LEC: 3) [0.50]	Restriction(s): Instructor consent required.	Prerequisite(s): 15.00 credits	This special study option enables undergraduate students in semesters 5 through 8 to undertake specific projects in agricultural science. The topic of the special study will be determined in consultation with a faculty member and the individual student. Students are responsible for making appropriate arrangements with faculty member prior to registration for the course.
AGR*4020 Precision Techniques for Plant  Agriculture Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): AGR*2470, STAT*2040, (BIOL*1050 or BIOL*1070)	This course will be a survey of principles and applications of technologies supporting precision farming and planning for natural resource data management. Topics will include Global positioning system (GPS), yield monitoring and mapping, remote sensing, geographic information system (GIS), variable rate technologies (VRT), data layering, Internet information access, and computer software for management.
AGR*4450 Research Project I Summer, Fall, and Winter (LAB: 6) [0.50]	Restriction(s): Permission of the course coordinator (contingent on the availability and agreement of a faculty advisor). BSC.Agr or BSC or BBRM, 70% cumulative average.	Prerequisite(s): 10.00 credits	This course provides for the independent study of a current topic in agricultural or environmental science designed to encourage senior undergraduates to conduct research. The course includes participation in meetings organized by the coordinator and working with a faculty advisor to develop a research project, formulate hypotheses, and conduct a thorough literature search related to the proposed work. Students will carry out independent library research, potentially conduct preliminary research, prepare a written research proposal and make a presentation to other students on the research plan and preliminary results, if applicable. Students should make arrangements with both the faculty advisor and the course coordinator at least one semester before starting the course. The course will normally be followed by AGR*4460 to provide 2 semesters to complete the research project.
AGR*4460 Research Project II Summer, Fall, and Winter (LAB: 12) [1.00]	Restriction(s): Permission of the course coordinator and faculty advisor.	Prerequisite(s): AGR*4450	Independent study of a current topic in agricultural or environmental science designed to encourage senior undergraduates to conduct research. The focus of this course will be the completion of the research plan developed in AGR*4450 by the student in consultation with a faculty advisor. The course includes participation in meetings organized by the coordinator and meetings with a faculty advisor to review research progress. Students will carry out independent research, prepare a written report of the research findings in a scholarly style and make a presentation to other students in the course of the research results. Open to students in semesters 6, 7 and 8 of the B.SC. (Agr.) or B.Sc. degree program.
AGR*4600 Agriculture and Food Issues Problem  Solving Winter Only (LEC: 3) [1.00]	Restriction(s): Registration in BSC.AGR, BBRM, BCOMM.FAB, BCOMM.FAB:C, BSC.PLSC, or BA.FARE program, or Minor in Agriculture.	Prerequisite(s): 12.50 credits	The issues facing the agriculture and food sector are many and varied and relate to the economy, the environment and society. Within these issues there are problems which require thoughtful solutions. Working in teams, with guidance from faculty advisors, students will have an opportunity to develop solutions to real-world problems facing the agriculture and food sector. In the process students will have an opportunity to develop their research, communication, presentation, writing and group work skills.
ANSC*2210 Principles of Animal Care and Welfare Winter Only (LEC: 4.5) [0.50]	Restriction(s): ANSC*1210. Restricted to students in BSCH.ABIO, BBRM.EQM, and BSAG majors/minor.	Prerequisite(s): 1 of AGR*1350, AGR*2350, EQN*1010	Students will be introduced to the major ethical theories that deal with humanity's duties to animals. The relationship of ethics to science will be discussed. Factors that contribute to the quality of life of animals will be considered and methods of assessing animal welfare will be described. Common causes of reduced animal welfare will be covered. The course will also deal with how different cultures approach animal welfare and attempt to regulate it.
ANSC*2340 Structure of Farm Animals Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090	This course is an introduction to anatomy and carcass structure of farm animals. Consideration is given to the major systems in the body and the whole range of animal structure from molecular biology to commercial carcass grading. The course provides a basic understanding of factors such as meat tenderness, adipose development in the carcass, abnormalities of meat quality such as PSE pork and dark-cutting beef, and carcass composition.
ANSC*3040 Animal Reproduction Winter Only (LEC: 3, LAB: 3) [0.50]	NONE	Prerequisite(s): ANSC*3080	This course takes a multi-species approach to understanding the basic principles of animal reproduction. Both the anatomy and the physiology of reproductive systems are explored in agricultural, companion and wildlife species with an emphasis on animals under human management. In addition, the development and application of assisted reproductive technologies (ART) for animal management are introduced.
ANSC*3050 Aquaculture: Advanced Issues Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): AGR*2350 or ZOO*2090	This course examines the fundamental principles and advanced interdisciplinary issues involved in the farming of aquatic organisms. The course will concentrate primarily on finfish species due to their worldwide commercial importance. Lectures will cover fish physiology, behaviour, nutrition, genetics, water quality, health and disease, reproductive techniques, economic, political and legal issues and various culture technologies. Students will analyze contemporary challenges facing the aquaculture industry through exercises requiring interdisciplinary knowledge, lateral thinking, creative problem solving and bridging science and technology to issues management.
ANSC*3080 Agricultural Animal Physiology Fall Only (LEC: 3, LAB: 1.5) [0.50]	Restriction(s): Registration in BSC(Agr), BSC.ABIO or BBRM.EQM, Minor in Agriculture.	Prerequisite(s): 1 of BIOC*2580, EQN*2040, EQN*2050	This course is an introduction to the physiology of domesticated farm animals. The course will emphasize homeostatic control of the major body systems. The lectures cover the nervous, cardiovascular, respiratory, urinary, immune, endocrine and reproductive systems. The lectures and laboratories are closely integrated.
ANSC*3090 Principles of Animal Behaviour Fall Only (LEC: 3) [0.50]	Restriction(s): ANSC*4090. Restricted to students in BSCH.ABIO, BSAG.ANSC and BBRM.EQM.	Prerequisite(s): ANSC*1210 or ANSC*2210	This course deals with why vertebrates behave as they do (with particular emphasis on mammals and birds), covering the causation of behaviour (including learning, motivation, affective states, hormones, sensory processing, and neurobiological mechanisms); function (both immediate/proximate and adaptive/ultimate); ontogeny (including socialization and sensitive periods); and phylogeny (especially the influences of taxonomic group and domestication). This framework is then applied to the following aspects of animal behaviour: foraging, anti-predator responses, sleep, sociality, mating, parental behaviour, play, dispersal and territoriality, animal intelligence, and behavioural pathologies.
ANSC*3120 Introduction to Animal Nutrition Fall Only (LEC: 3, LAB: 2) [0.50]	Restriction(s): Registration in BSC(Agr) or BSC.ABIO.	NONE	This course applies the principles of nutrition to the development of diets and feeding programs for the various species of animals of agricultural importance.
ANSC*3170 Nutrition of Fish and Crustacea Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): NUTR*3210	This course examines growth, digestive and metabolic processes, nutritional requirements and practical feeding programs for fish and crustaceans with an emphasis on those species used in aquaculture.
ANSC*3180 Wildlife Nutrition Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): NUTR*3210	This course is a study of the nutrition of avian and mammalian wildlife with emphasis on North American species and the role of nutrition in survival and population growth of wildlife in their natural habitat.
ANSC*3270 Animal Disorders Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANSC*3080	This course will highlight common causes of infectious, metabolic and psychological/neurological disorders of domestic and companion animals, and their potential impact on animal welfare and production. Disorders will be addressed in the context of pathophysiology, transmission, and prevention strategies involving environmental enrichment, vaccination, biosecurity, nutrition, and genetic selection.
ANSC*4010 Animal Welfare Judging and Evaluation Fall Only (LAB: 3) [0.50]	NONE	Prerequisite(s): 15.00 credits including ANSC*3080, (ANSC*1210 or ANSC*2210)	This course provides senior level students with a structured opportunity to practice assessing animal welfare using scientific evidence. Students learn to present their evaluations in a logical and persuasive manner. They learn general criteria and approaches used to assess welfare and then apply that knowledge for assessment of four different species in practical settings.
ANSC*4040 Digital Technologies for Animal  Production Systems Fall Only (LEC: 3, LAB: 3) [0.50]	Restriction(s): Registration in BSAG or BSCH.ABIO	Prerequisite(s): ANSC*3120, STAT*2040	Major topics and methods which fall within the scope of 'digital animal production' will be covered. Broad areas of focus include feed formulation, animal models and the application of machine learning within animal production systems.
ANSC*4050 Biotechnology in Animal Science Fall Only (LEC: 3, LAB: 2) [0.50]	NONE	Prerequisite(s): MBG*2040 or MBG*2400	The course will provide an overview of how biotechnology has impacted biomedical science and animal production. Important principles of recombinant DNA, DNA marker identification, stem cell biology, and generation of transgenic animals will be emphasized. The current challenges and potential opportunities in biotechnology will also be discussed.
ANSC*4090 Applied Animal Behaviour and Welfare Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANSC*3080, ANSC*3090	Students will build upon their basic knowledge of animal behaviour and welfare for in-depth examination of how genetic selection, housing and management practices affect the behaviour, health and well-being of farmed and companion animals. Topics will include effects of domestication and artificial selection on behaviour and health traits, and how early experience affects adaptability, sexual and maternal behaviour. Emphasis is placed on the application of behavioural knowledge to the design of housing and management procedures that promote healthy, productive animals and good welfare.
ANSC*4100 Applied Environmental Physiology and  Animal Housing Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANSC*3080	Basic concepts of environmental physiology and their application to animal housing and management will be introduced. The course will review the physics of heat flow, light and air quality as they relate to animal biology and health. Other aspects, such as the physical environment, that impact on animal health and well-being will be discussed.
ANSC*4230 Challenges and Opportunities in Dairy  Cattle Production Fall Only (LAB: 6) [0.50]	Restriction(s): Instructor consent required.	Prerequisite(s): ANSC*3080, ANSC*3120, MBG*3060	This course will provide senior level students with experience in working as a team to propose solutions to dairy cattle industry problems. Teams of students will critically assess dairy cattle-related businesses at the farm or industry level under the supervision of a faculty member.
ANSC*4260 Beef Cattle Nutrition Winter Only (LEC: 3, LAB: 2) [0.50]	NONE	Prerequisite(s): ANSC*3120	This course is designed for students to evaluate problems in feeding beef cattle. Relevant aspects of digestion and metabolism of nutrients as well as current issues of feeding beef cattle and diagnosing nutritional deficiencies will be included.
ANSC*4270 Dairy Cattle Nutrition Fall Only (LEC: 3, LAB: 2) [0.50]	NONE	Prerequisite(s): ANSC*3120	Students will learn how nutrients are transformed from feed into milk and bodies of dairy animals. There will be an emphasis on feed management on farms and developing skills in formulation and evaluation of rations using computer models.
ANSC*4280 Poultry Nutrition Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANSC*3120	This course is designed to evaluate basic and applied poultry nutrition. Students will learn nutrient requirements of poultry, feeding value of ingredients used in poultry feed formulation and how feeding affects the environment, growth, reproduction, health, and composition of poultry products for human consumption.
ANSC*4290 Swine Nutrition Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANSC*3120	This course is designed to explore details of evaluating feed ingredients and formulating diets for swine. Students will use models to evaluate various aspects of nutrient partitioning for growth and reproduction in pigs.
ANSC*4350 Experiments in Animal Biology Winter Only (LAB: 6) [0.50]	Restriction(s): Restricted to students in BSCH.ABIO,BSAG.ANSC and BBRM.EQM. Instructor consent required.	Prerequisite(s): 14.00 credits including ANSC*3080	This course provides an opportunity for directed hands-on projects involving live animals and laboratory techniques. A set of selected projects will be provided by Animal Biosciences faculty within their broad fields of study.
ANSC*4470 Animal Metabolism Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): NUTR*3210	Current concepts in whole animal metabolism and the quantitative techniques used to measure whole body metabolic kinetics will be presented. Tissue and organ specific biochemical processes will be integrated with whole body control mechanisms.
ANSC*4490 Applied Endocrinology Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANSC*3080	This course examines the endocrine systems of farm animals and their applications to improve and monitor the production, performance, behavior and health of livestock. Considerable emphasis will be placed upon understanding how knowledge of endocrine regulation can be applied within animal production systems.
ANSC*4560 Pet Nutrition Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): NUTR*3210	This course covers nutrient requirements, feed formulation and nutritional idiosyncrasies for dogs, cats, and exotic pets.
ANSC*4610 Critical Analysis in Animal Science Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 15.00 credits including 2.00 in ANSC or EQN	Students are guided to independently research and critically review a topic of emerging importance in animal biosciences. Students select a topic in consultation with the instructor.
ANSC*4650 Comparative Immunology Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANSC*3080	This course gives an overview of the immune defense mechanisms of domestic species, and to compare common and unique defense strategies developed for resisting microbial and viral infections. Topics include innate and acquired immunity, evolution of the immune system, immunoregulation, and the host response to pathogen invasion.
ANSC*4700 Research in Animal Biology I Fall and Winter (LEC: 6) [0.50]	Restriction(s): Restricted to students in BSC.ABIO and BSAG.ANSC. Instructor consent required.	Prerequisite(s): 14.00 credits	This course provides an opportunity for those students potentially interested in postgraduate studies to work with a committed faculty advisor to research a problem and design experiment(s) that address a solution. Evaluation of the course requires a substantive literature review and to write a research proposal. Selection of a faculty supervisor and approval from course coordinator must be obtained before course selection.
ANSC*4710 Research in Animal Biology II Fall and Winter (LAB: 6) [0.50]	Restriction(s): Restricted to students in BSC.ABIO and BSAG.ANSC. Instructor consent required.	Prerequisite(s): ANSC*4700	This course is a continuation of ANSC*4700, Research in Animal Biology I. It allows more sophisticated projects to be undertaken or to provide an opportunity to build upon the work of ANSC*4700. Evaluation of the course requires a greater emphasis on data analysis or experimental design than for ANSC*4700. Selection of a faculty advisor and approval of course coordinator must be obtained before course selection.
ANTH*1120 Biological Anthropology Fall and Winter (LEC: 3) [0.50]	Restriction(s): This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. Please see the departmental website.	NONE	In this course students will be introduced to the central concepts of biological anthropology. Potential topics to be explored include hominid evolution, contemporary human diversity, primatology, nutrition and diet, and an introduction to forensic anthropology and paleopathology.
ANTH*1150 Introduction to Anthropology Fall and Winter (LEC: 3) [0.50]	NONE	NONE	This course deals with humankind from a broad historical and cross-cultural perspective. Theoretical models, case studies and specific methods will be presented. Course topics may include the origin and transformations of human society, the relationship between biological and cultural traits, human language, variation in family structure and religion, the economic and political aspects of human society.
ANTH*2180 Public Anthropology Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 1 of ANTH*1150, IDEV*1000, SOC*1100	This course explores approaches to public, engaged anthropology, and the application of anthropological theory and practice. Students will develop insights into the roles of anthropology and anthropological perspectives for diverse occupations, fields, and policies, and within contemporary public debates and discussions.
ANTH*2230 Regional Ethnography Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANTH*1150	This course offers a survey of ethnographic studies on selected cultural/geographical area(s) of the world. Topics covered may include social, economic and political systems, the colonial encounter, and the theoretical, methodological and political contexts of ethnographic representation.
ANTH*2660 Contemporary Indigenous Peoples in  Canada Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): 1 of ANTH*1150, IDEV*1000, IES*1010, SOC*1100	An anthropological analysis of the impact of settler society on Indigenous cultures. Particular emphasis will be given to contemporary issues relating to Indigenous peoples in Canada, including First Nations, Inuit, and Metis peoples. Topics to be covered may include education, treaties and reserves, land claims, government administration, economic development, and reconciliation.
ANTH*3550 Medical Anthropology Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): SOAN*2120, (1 of ANTH*2160, ANTH*2180, ANTH*2230, ANTH*2660)	This course provides an introduction to medical anthropology and the anthropology of health. We will examine theory, methods, practice, and contemporary and historical topical issues.
ANTH*3650 The Anthropology of Indigenous Peoples  Before Canada Fall Only (LEC: 3) [0.50]	Restriction(s): ANTH*2650	Prerequisite(s): (1 of ANTH*2160, ANTH*2180, IDEV*2200, IES*2010), (1 of ANTH*2230, ANTH*2660, HIST*2090, IDEV*2000, IDEV*2400)	This course is an anthropological exploration of the events that took place before the arrival of Europeans in what is now Canada. It draws on evidence from a variety of intellectual perspectives including Indigenous knowledges, oral histories, anthropology, archaeology, history, genetics, and linguistics to investigate current understandings and uses of the past. Archaeological time sequences are covered along with stories and debates about human history in the time period before Canada.
ANTH*3690 Engaging Anthropological Theory Fall Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANTH*2230, (ANTH*2160 or ANTH*2180), SOAN*2120	This course offers an analysis of the main trends in anthropological theory and practice. Areas of discussion will include the crisis of representation, interpretive anthropology, feminist anthropology, and agency and structure debates.
ANTH*3770 Kinship, Family, and Power Winter Only (LEC: 3) [0.50]	NONE	Prerequisite(s): ANTH*2230, (ANTH*2160 or ANTH*2180), SOAN*2120	This course explores the changing nature of what it means to be a family from anthropological and cross-cultural perspectives. Topics of discussion include kinship, descent, marriage, our relationships to ancestors, gender and power relations, and the politics of kinship ties. In addition, the course considers the relevance of kinship to contemporary issues such as gay, lesbian, bisexual and transgendered families, the use of reproductive technologies, and international adoptions.
